cluster,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10,keyword_11,keyword_12,keyword_13,keyword_14,keyword_15
0,rakyat,yg,jokowi,indonesia,roy,ijazah,suryo,palsu,negara,orang,presiden,nya,asli,biar,tau
1,ijazah,jokowi,asli,yg,palsu,ugm,nya,roy,aja,orang,aslinya,tunjukkan,ijazahnya,suryo,tdk
10,yg,jokowi,roy,ijazah,asli,tdk,org,palsu,orang,salah,ugm,aja,ijasah,suryo,nya
11,presiden,mantan,jokowi,yg,roy,ijazah,suryo,orang,palsu,indonesia,nya,negara,rakyat,aja,walikota
12,polisi,jokowi,yg,ijazah,asli,nya,percaya,aja,rakyat,roy,palsu,tunjukan,pengadilan,tunjukkan,tau
13,hukum,yg,jokowi,roy,negara,suryo,salah,proses,orang,ya,nya,ijazah,biar,aja,palsu
14,gak,yg,jokowi,roy,ijazah,aja,orang,suryo,nya,asli,palsu,ugm,percaya,kalo,ya
15,orang,yg,jokowi,roy,ijazah,aja,hati,suryo,negara,ijasah,indonesia,cari,palsu,nya,kesalahan
16,ya,roy,yg,jokowi,suryo,orang,aja,salah,nya,ijazah,kalo,asli,ga,palsu,klo
17,bikin,gaduh,roy,yg,aja,suryo,jokowi,orang,negara,indonesia,biar,ijazah,penjarakan,asli,penjara
18,jokowi,yg,ijazah,roy,ijasah,asli,ugm,palsu,ijazahnya,pk,orang,suryo,teman,aja,nya
19,setuju,roy,jokowi,yg,suryo,penjara,biar,masyarakat,hukum,orang,rakyat,penjarakan,palsu,ijazah,sy
2,roy,suryo,jokowi,yg,penjara,cs,masuk,orang,dkk,aja,si,nya,bang,mas,kau
3,roy,yg,aja,jokowi,ugm,suryo,ijazah,si,ga,biar,negara,mulyono,asli,orang,ijasah
4,bangsa,sok,roy,yg,suryo,negara,orang,indonesia,jokowi,anak,ijazah,pintar,palsu,aja,nya
5,nya,jokowi,yg,ijazah,roy,orang,asli,aja,palsu,ijasah,suryo,ga,ugm,si,negara
6,takut,roy,suryo,jokowi,yg,ya,ijazah,nya,asli,ugm,aja,berani,orang,palsu,penjara
7,palsu,ijazah,asli,jokowi,yg,ijasah,terbukti,kalo,bro,roy,banget,ugm,orang,sih,ijazahnya
8,masyarakat,roy,yg,suryo,menilai,bawa,jokowi,biar,indonesia,panci,nama,tau,orang,aja,kau
9,panci,roy,si,yg,suryo,maling,penjara,masuk,jokowi,pakar,aja,cs,roi,nya,orang
