cluster,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10
0,panci,roi,di,roy,yg,suryo,si,ini,itu,pakar
1,jokowi,ijazah,yg,di,pak,palsu,dan,asli,itu,yang
10,yg,ini,di,silvester,ada,orang,itu,nya,yang,gak
11,yg,di,ini,dan,orang,yang,itu,rakyat,masyarakat,rs
12,jokowi,yg,di,dan,presiden,ini,ijazah,itu,pak,palsu
13,mulyono,yg,di,ini,ijazah,dan,negara,indonesia,itu,nya
14,ugm,di,yg,dan,ijazah,itu,jokowi,yang,ada,roy
2,roy,suryo,di,yg,dan,jokowi,ini,itu,masyarakat,penjara
3,ijazah,yg,di,palsu,asli,itu,dan,ijasah,ini,ada
4,yg,palsu,di,bisa,dan,orang,yang,akan,itu,asli
5,roy,ibu,di,yg,suryo,jokowi,itu,dan,ijazah,pak
6,roy,suryo,yg,di,dan,panci,itu,ini,pak,si
7,jokowi,pak,yg,di,dan,ini,orang,itu,yang,rakyat
8,di,yg,hukum,dan,ini,yang,ke,itu,ada,polisi
9,allahuakbar,jokowi,panci,bongkar,yg,o,kocak,up,mon,nol
